Name,Album,Song,TrackNo,String6,String5,String4,String3,String2,String1
Lee,Confusion is Sex,She's in a Bad Mood,1,,,,,,
Lee,Confusion is Sex,Protect Me You,2,,,,,,
Lee,Confusion is Sex,I Wanna Be Yr Dog,3,E2,A3,D3,G3,B4,E4
Lee,Confusion is Sex,Shaking Hell,4,E2,A3,D3,G3,B4,E4
Lee,Confusion is Sex,Inhuman,5,,,,,,
Lee,Confusion is Sex,The World Looks Red,6,E2,A3,D3,E3,C4,D4
Lee,Confusion is Sex,Confusion is Next,7,E2,A3,D3,E3,C4,D4
Lee,Confusion is Sex,Making the Nature Scene,8,,,,,,
Thurston,Bad Moon Rising,Intro,1,F#2,F#2,F#3,F#3,E3,B4
Thurston,Bad Moon Rising,Brave Men Run,2,F#2,F#2,F#3,F#3,E3,B4
Thurston,Bad Moon Rising,Society is a Hole,3,F#2,F#2,F#3,F#3,E3,B4
Thurston,Bad Moon Rising,I Love her all the Time,4,G2,G2,C3,C3,A#4,A#4
Thurston,Bad Moon Rising,Ghost Bitch,5,G2,G2,C3,C3,A#4,A#4
Thurston,Bad Moon Rising,I'm Insane,6,,,,,,
Thurston,Bad Moon Rising,Justice is Might,7,,,,,,
Thurston,Bad Moon Rising,Death Valley '69,8,F#2,F#2,F#3,F#3,E3,B4
Thurston,Bad Moon Rising,Flower,9,G2,G2,D3,D3,D#3,D#3
Thurston,Bad Moon Rising,Halloween,10,F#2,F#2,F#3,F#3,E3,B4
Lee,Bad Moon Rising,Intro,1,F#2,F#2,F#3,F#3,E3,B4
Lee,Bad Moon Rising,Brave Men Run,2,F#2,F#2,F#3,F#3,E3,B4
Lee,Bad Moon Rising,Society is a Hole,3,F#2,F#2,F#3,F#3,E3,B4
Lee,Bad Moon Rising,I Love her all the Time,4,D#2,D#2,C#3,C#3,G3,G3
Lee,Bad Moon Rising,Ghost Bitch,5,F#2,F#2,F#3,F#3,E3,B4
Lee,Bad Moon Rising,I'm Insane,6,D2,D2,D3,D3,E3,A4
Lee,Bad Moon Rising,Justice is Might,7,A3,A3,E3,E3,F#3,A4
Lee,Bad Moon Rising,Death Valley '69,8,F#2,F#2,F#3,F#3,E3,B4
Lee,Bad Moon Rising,Flower,9,G2,G2,D3,D3,D#3,D#3
Lee,Bad Moon Rising,Halloween,10,F#2,F#2,F#3,F#3,E3,B4
Thurston,EVOL,Tom Violence,1,F#2,F#2,G3,G3,A4,A4
Thurston,EVOL,Shadow of a doubt,2,F#2,F#2,F#3,F#3,E3,B4
Thurston,EVOL,Starpower,3,F#2,F#2,F#3,F#3,E3,B4
